,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
aggravating_allmenprevensjon,1,aggravating_allmenprevensjon,aggravating,allmenprevensjon,general contraception,DELETE,
aggravating_betydelig verdi,1,aggravating_betydelig verdi,aggravating,betydelig verdi,significant value,DELETE,
aggravating_kriminalitet av samfunnsskadelig art,1,aggravating_kriminalitet av samfunnsskadelig art,aggravating,kriminalitet av samfunnsskadelig art,crime of a socially harmful nature,DELETE,
aggravating_ikke-økonomisk skade,1,aggravating_ikke-økonomisk skade,aggravating,ikke-økonomisk skade,non-economic damage,DELETE,
aggravating_selvtekt,1,aggravating_selvtekt,aggravating,selvtekt,self-taught,DELETE,
aggravating_voldsutøvelse med betydelig kraft,1,aggravating_voldsutøvelse med betydelig kraft,aggravating,voldsutøvelse med betydelig kraft,violence with considerable force,life_health,violence
aggravating_narkotikabesittelse,1,aggravating_narkotikabesittelse,aggravating,narkotikabesittelse,drug possession,drugs,
aggravating_oppbevaring av ammunisjon,1,aggravating_oppbevaring av ammunisjon,aggravating,oppbevaring av ammunisjon,storage of ammunition,violation,weapon_storage
aggravating_vold/trusler mot tjenestemenn,1,aggravating_vold/trusler mot tjenestemenn,aggravating,vold/trusler mot tjenestemenn,violence/threats against officials,violation,official
aggravating_oppbevaring av voldsprodukt,1,aggravating_oppbevaring av voldsprodukt,aggravating,oppbevaring av voldsprodukt,storage of the product of violence,DELETE,
aggravating_soningsunnlatelse,1,aggravating_soningsunnlatelse,aggravating,soningsunnlatelse,non-parole,DELETE,
aggravating_utnyttet situasjonen,1,aggravating_utnyttet situasjonen,aggravating,utnyttet situasjonen,took advantage of the situation,DELETE,
aggravating_seksuell misbruk av barn,1,aggravating_seksuell misbruk av barn,aggravating,seksuell misbruk av barn,sexual abuse of children,victim,underaged
aggravating_hindring av politiets tjenestehandling,1,aggravating_hindring av politiets tjenestehandling,aggravating,hindring av politiets tjenestehandling,obstruction of the police service,obstruction,
aggravating_ran fra ung person,1,aggravating_ran fra ung person,aggravating,ran fra ung person,robbery from young person,violation,robbery
aggravating_utelivsvold i det offentlige rom,1,aggravating_utelivsvold i det offentlige rom,aggravating,utelivsvold i det offentlige rom,nightlife violence in the public space,place,public
aggravating_identitetsmisbruk,1,aggravating_identitetsmisbruk,aggravating,identitetsmisbruk,identity abuse,violation,identification
aggravating_misbruk av støtteordning,1,aggravating_misbruk av støtteordning,aggravating,misbruk av støtteordning,abuse of support scheme,violation,fraud
aggravating_grovhet i skildringene,1,aggravating_grovhet i skildringene,aggravating,grovhet i skildringene,roughness in the depictions,DELETE,
aggravating_fare- og skadepotensialet var betydelig høyere,1,aggravating_fare- og skadepotensialet var betydelig høyere,aggravating,fare- og skadepotensialet var betydelig høyere,the danger and damage potential was significantly higher,severe,damage
aggravating_bevisst medbrakt kniv,1,aggravating_bevisst medbrakt kniv,aggravating,bevisst medbrakt kniv,deliberately brought knife,object,weapon
aggravating_beruset og aggressiv,1,aggravating_beruset og aggressiv,aggravating,beruset og aggressiv,drunk and aggressive,intoxication,
aggravating_seksuelle overgrep mot mindreårige,1,aggravating_seksuelle overgrep mot mindreårige,aggravating,seksuelle overgrep mot mindreårige,sexual abuse of minors,victim,underaged
aggravating_utnyttelse av omsorgsrolle,1,aggravating_utnyttelse av omsorgsrolle,aggravating,utnyttelse av omsorgsrolle,utilization of caring role,trust,
aggravating_skapte redsel for nye overgrep,1,aggravating_skapte redsel for nye overgrep,aggravating,skapte redsel for nye overgrep,created fear of new abuses,life_health,psychological
aggravating_kjørt utfor veien,1,aggravating_kjørt utfor veien,aggravating,kjørt utfor veien,driven off the road,DELETE,
aggravating_særlig kynisme,1,aggravating_særlig kynisme,aggravating,særlig kynisme,especially cynicism,DELETE,
aggravating_mindre bedrageri,1,aggravating_mindre bedrageri,aggravating,mindre bedrageri,minor fraud,violation,fraud
aggravating_alkohollanging,1,aggravating_alkohollanging,aggravating,alkohollanging,alcohol craving,DELETE,
aggravating_krenkelse av privatlivets fred,1,aggravating_krenkelse av privatlivets fred,aggravating,krenkelse av privatlivets fred,violation of privacy,violation,privacy
aggravating_fornærmede under 10 år,1,aggravating_fornærmede under 10 år,aggravating,fornærmede under 10 år,victim under the age of 10,victim,underaged
aggravating_begått av omsorgsperson,1,aggravating_begått av omsorgsperson,aggravating,begått av omsorgsperson,committed by a caregiver,trust,
aggravating_voldelig oppførsel,1,aggravating_voldelig oppførsel,aggravating,voldelig oppførsel,violent behavior,life_health,violence
aggravating_konsekvenser for helse,1,aggravating_konsekvenser for helse,aggravating,konsekvenser for helse,consequences for health,life_health,
aggravating_stor aldersforskjell mellom fornærmede og domfelte,1,aggravating_stor aldersforskjell mellom fornærmede og domfelte,aggravating,stor aldersforskjell mellom fornærmede og domfelte,large age difference between the victim and the convicted,victim,age_difference
aggravating_fast forbryters forsett,1,aggravating_fast forbryters forsett,aggravating,fast forbryters forsett,fixed criminal intent,premeditated,
aggravating_gjentatte forulemping av politiet,1,aggravating_gjentatte forulemping av politiet,aggravating,gjentatte forulemping av politiet,repeated harassment by the police,violation,official
aggravating_bidrag til vinningsforbrytelser,1,aggravating_bidrag til vinningsforbrytelser,aggravating,bidrag til vinningsforbrytelser,contribution to profit-making crimes,cause,personal_gain
aggravating_brudd på promillereglene til sjøs,1,aggravating_brudd på promillereglene til sjøs,aggravating,brudd på promillereglene til sjøs,violation of the blood alcohol regulations at sea,violation,intoxication
aggravating_flere slag og spark,1,aggravating_flere slag og spark,aggravating,flere slag og spark,more punches and kicks,life_health,violence
aggravating_målrettet mot kroppens vitale organer,1,aggravating_målrettet mot kroppens vitale organer,aggravating,målrettet mot kroppens vitale organer,targeting the body's vital organs,life_health,
aggravating_drapsforsett,1,aggravating_drapsforsett,aggravating,drapsforsett,murderous intent,severe,murderous_intent
aggravating_kraft,1,aggravating_kraft,aggravating,kraft,Power,DELETE,
aggravating_voldsom intensitet,1,aggravating_voldsom intensitet,aggravating,voldsom intensitet,fierce intensity,DELETE,
aggravating_lav terskel for voldsutøvelse,1,aggravating_lav terskel for voldsutøvelse,aggravating,lav terskel for voldsutøvelse,low threshold for violence,DELETE,
aggravating_trusler mot særskilt utsatt gruppe,1,aggravating_trusler mot særskilt utsatt gruppe,aggravating,trusler mot særskilt utsatt gruppe,threats against a particularly vulnerable group,victim,vulnerable
aggravating_bruk av håndholdt mobil under kjøring,1,aggravating_bruk av håndholdt mobil under kjøring,aggravating,bruk av håndholdt mobil under kjøring,use of a hand-held mobile phone while driving,driving,phone
aggravating_publisering av fartsoverskridelse på sosiale medier,1,aggravating_publisering av fartsoverskridelse på sosiale medier,aggravating,publisering av fartsoverskridelse på sosiale medier,publication of speeding on social media,driving,speed
aggravating_forspilte bevis,1,aggravating_forspilte bevis,aggravating,forspilte bevis,lost evidence,DELETE,
aggravating_medvirket til distribusjon av narkotika,1,aggravating_medvirket til distribusjon av narkotika,aggravating,medvirket til distribusjon av narkotika,assisted in the distribution of drugs,drugs,sale
aggravating_øvrige forhold,1,aggravating_øvrige forhold,aggravating,øvrige forhold,other conditions,other,
aggravating_brudd på vikeplikt,1,aggravating_brudd på vikeplikt,aggravating,brudd på vikeplikt,breach of duty to give way,DELETE,
aggravating_grove tyveri,1,aggravating_grove tyveri,aggravating,grove tyveri,grand theft,violation,theft
aggravating_simple tyverier,1,aggravating_simple tyverier,aggravating,simple tyverier,simple thefts,violation,theft
aggravating_forsøk på voldtekt av barn under 14 år,1,aggravating_forsøk på voldtekt av barn under 14 år,aggravating,forsøk på voldtekt av barn under 14 år,attempted rape of children under the age of 14,victim,underaged
aggravating_seksuelt krenkende og uanstendig adferd,1,aggravating_seksuelt krenkende og uanstendig adferd,aggravating,seksuelt krenkende og uanstendig adferd,sexually offensive and indecent behaviour,violation,sexual
aggravating_planlagt å kjøre en lang strekning,1,aggravating_planlagt å kjøre en lang strekning,aggravating,planlagt å kjøre en lang strekning,planned to drive a long distance,driving,distance
aggravating_slag mot hodet med gjenstand,1,aggravating_slag mot hodet med gjenstand,aggravating,slag mot hodet med gjenstand,blow to the head with an object,object,
aggravating_unnlot å stanse for politiet,1,aggravating_unnlot å stanse for politiet,aggravating,unnlot å stanse for politiet,failed to stop for the police,driving,failed_to_stop
aggravating_fornærmede under 14 år,1,aggravating_fornærmede under 14 år,aggravating,fornærmede under 14 år,victim under the age of 14,victim,underaged
aggravating_unnlatt stans for politiet,1,aggravating_unnlatt stans for politiet,aggravating,unnlatt stans for politiet,failed to stop for the police,driving,failed_to_stop
aggravating_fare for andre,1,aggravating_fare for andre,aggravating,fare for andre,danger to others,DELETE,
aggravating_trafikkuhell med materielle skader,1,aggravating_trafikkuhell med materielle skader,aggravating,trafikkuhell med materielle skader,traffic accidents with material damage,driving,accident
aggravating_gjentatte kroppskrenkelser,1,aggravating_gjentatte kroppskrenkelser,aggravating,gjentatte kroppskrenkelser,repeated bodily harm,life_health,
aggravating_store beslag på politiets ressurser,1,aggravating_store beslag på politiets ressurser,aggravating,store beslag på politiets ressurser,large seizure of police resources,DELETE,
aggravating_stor og rask båt med stort skadepotensiale,1,aggravating_stor og rask båt med stort skadepotensiale,aggravating,stor og rask båt med stort skadepotensiale,large and fast boat with great damage potential,DELETE,
aggravating_førte båten over en lengre strekning,1,aggravating_førte båten over en lengre strekning,aggravating,førte båten over en lengre strekning,guided the boat over a longer distance,DELETE,
aggravating_høy alkoholpåvirkning,1,aggravating_høy alkoholpåvirkning,aggravating,høy alkoholpåvirkning,high alcohol influence,intoxication,
aggravating_vold mot person som forsøker å roe ned situasjonen,1,aggravating_vold mot person som forsøker å roe ned situasjonen,aggravating,vold mot person som forsøker å roe ned situasjonen,violence against a person who tries to calm down the situation,life_health,violence
aggravating_produksjon av film med seksuell omgang,1,aggravating_produksjon av film med seksuell omgang,aggravating,produksjon av film med seksuell omgang,production of films with sexual intercourse,violation,filming
aggravating_flere grove tyverier,1,aggravating_flere grove tyverier,aggravating,flere grove tyverier,several aggravated thefts,violation,theft
aggravating_kjøring under ruspåvirket,1,aggravating_kjøring under ruspåvirket,aggravating,kjøring under ruspåvirket,driving under the influence of drugs,driving,drugs
aggravating_høy påvirkningsgrad under kjøringen,1,aggravating_høy påvirkningsgrad under kjøringen,aggravating,høy påvirkningsgrad under kjøringen,high degree of impact while driving,intoxication,
aggravating_kjøring uten gyldig skilt,1,aggravating_kjøring uten gyldig skilt,aggravating,kjøring uten gyldig skilt,driving without a valid license plate,driving,license
aggravating_unnlatelse av å møte til soning,1,aggravating_unnlatelse av å møte til soning,aggravating,unnlatelse av å møte til soning,failure to appear for sentencing,violation,failure_to_appear_in_court
aggravating_beruselse,1,aggravating_beruselse,aggravating,beruselse,intoxication,intoxication,
aggravating_voldshistorikken mellom Navn og Navn,1,aggravating_voldshistorikken mellom Navn og Navn,aggravating,voldshistorikken mellom Navn og Navn,the history of violence between Name and Name,DELETE,
aggravating_grovt tillitsbrudd,1,aggravating_grovt tillitsbrudd,aggravating,grovt tillitsbrudd,gross breach of trust,trust,
aggravating_utnyttelse av offer,1,aggravating_utnyttelse av offer,aggravating,utnyttelse av offer,exploitation of victims,severe,abuse
aggravating_lang varighet,1,aggravating_lang varighet,aggravating,lang varighet,long duration,severe,long_time
aggravating_overgrep i eget hjem,1,aggravating_overgrep i eget hjem,aggravating,overgrep i eget hjem,abuse in own home,place,private
aggravating_misbruk av samboers identifikasjon,1,aggravating_misbruk av samboers identifikasjon,aggravating,misbruk av samboers identifikasjon,misuse of cohabitant's identification,violation,fraud
aggravating_for høyt fart,1,aggravating_for høyt fart,aggravating,for høyt fart,too high a speed,driving,speed
aggravating_båret skytevåpen på offentlig sted,1,aggravating_båret skytevåpen på offentlig sted,aggravating,båret skytevåpen på offentlig sted,carried a firearm in a public place,object,weapon
aggravating_flere personer til stede,1,aggravating_flere personer til stede,aggravating,flere personer til stede,several people present,DELETE,
aggravating_aldri hatt gyldig førerkort,1,aggravating_aldri hatt gyldig førerkort,aggravating,aldri hatt gyldig førerkort,never had a valid driver's license,DELETE,
aggravating_mønster av handlinger,1,aggravating_mønster av handlinger,aggravating,mønster av handlinger,pattern of actions,DELETE,
aggravating_høy verdi på stjålet gjenstand,1,aggravating_høy verdi på stjålet gjenstand,aggravating,høy verdi på stjålet gjenstand,high value of stolen item,severe,damage
aggravating_grovt brudd på vegtrafikkloven,1,aggravating_grovt brudd på vegtrafikkloven,aggravating,grovt brudd på vegtrafikkloven,gross violation of the Road Traffic Act,violation,road_traffic_act
aggravating_tjuveri,1,aggravating_tjuveri,aggravating,tjuveri,theft,violation,theft
aggravating_tidligere voldsutøvelser,1,aggravating_tidligere voldsutøvelser,aggravating,tidligere voldsutøvelser,previous acts of violence,repeated_offense,
aggravating_voldelig,1,aggravating_voldelig,aggravating,voldelig,violent,DELETE,
aggravating_aggressivt og utagerende oppførsel,1,aggravating_aggressivt og utagerende oppførsel,aggravating,aggressivt og utagerende oppførsel,aggressive and acting out behavior,severe,aggressive
aggravating_oppbevaring av kokain,1,aggravating_oppbevaring av kokain,aggravating,oppbevaring av kokain,possession of cocaine,drugs,possession
aggravating_grovt underslag,1,aggravating_grovt underslag,aggravating,grovt underslag,gross embezzlement,violation,fraud
aggravating_flere skjerpende forhold,1,aggravating_flere skjerpende forhold,aggravating,flere skjerpende forhold,several aggravating circumstances,DELETE,
aggravating_hovedmann,1,aggravating_hovedmann,aggravating,hovedmann,main man,DELETE,
aggravating_foranledningen til volden,1,aggravating_foranledningen til volden,aggravating,foranledningen til volden,the cause of the violence,DELETE,
aggravating_vold i forbindelse med trusselen,1,aggravating_vold i forbindelse med trusselen,aggravating,vold i forbindelse med trusselen,violence in connection with the threat,life_health,violence
aggravating_uforsvarlig lagring av våpen og ammunisjon,1,aggravating_uforsvarlig lagring av våpen og ammunisjon,aggravating,uforsvarlig lagring av våpen og ammunisjon,improper storage of weapons and ammunition,violation,weapon_storage
aggravating_hatefulle ytringer,1,aggravating_hatefulle ytringer,aggravating,hatefulle ytringer,hate speech,hate_crime,
aggravating_bruk av belte i voldsutøvelsen,1,aggravating_bruk av belte i voldsutøvelsen,aggravating,bruk av belte i voldsutøvelsen,use of a belt in the exercise of violence,object,
aggravating_seksuell adferd med bruk av seksuelle hjelpemidler/andre gjenstander,1,aggravating_seksuell adferd med bruk av seksuelle hjelpemidler/andre gjenstander,aggravating,seksuell adferd med bruk av seksuelle hjelpemidler/andre gjenstander,sexual behavior with the use of sexual aids/other objects,DELETE,
aggravating_tidligere dømt for bedrageri,1,aggravating_tidligere dømt for bedrageri,aggravating,tidligere dømt for bedrageri,previously convicted of fraud,repeated_offense,
aggravating_stort tapspotensiale,1,aggravating_stort tapspotensiale,aggravating,stort tapspotensiale,large loss potential,DELETE,
aggravating_høyt antall bedragerier,1,aggravating_høyt antall bedragerier,aggravating,høyt antall bedragerier,high number of frauds,violation,fraud
aggravating_delvis profesjonelt preg,1,aggravating_delvis profesjonelt preg,aggravating,delvis profesjonelt preg,partially professional touch,organized,
aggravating_rasistiske ytringer,1,aggravating_rasistiske ytringer,aggravating,rasistiske ytringer,racist remarks,hate_crime,
aggravating_unnlot å stoppe for politiet,1,aggravating_unnlot å stoppe for politiet,aggravating,unnlot å stoppe for politiet,failed to stop for the police,driving,failed_to_stop
aggravating_oppsøkt fornærmede utenfor hennes hjem,1,aggravating_oppsøkt fornærmede utenfor hennes hjem,aggravating,oppsøkt fornærmede utenfor hennes hjem,approached the victim outside her home,place,private
aggravating_kjøring med uregistrert motorvogn,1,aggravating_kjøring med uregistrert motorvogn,aggravating,kjøring med uregistrert motorvogn,driving with an unregistered motor vehicle,driving,license_plate
aggravating_kjøring med uforsikret motorvogn,1,aggravating_kjøring med uforsikret motorvogn,aggravating,kjøring med uforsikret motorvogn,driving an uninsured motor vehicle,driving,license_plate
aggravating_meget aktiv medvirkerrolle,1,aggravating_meget aktiv medvirkerrolle,aggravating,meget aktiv medvirkerrolle,very active supporting role,DELETE,
aggravating_planlagt av flere i fellesskap,1,aggravating_planlagt av flere i fellesskap,aggravating,planlagt av flere i fellesskap,planned by several people together,premeditated,
aggravating_steiling med motorsykkel,1,aggravating_steiling med motorsykkel,aggravating,steiling med motorsykkel,riding a motorcycle,driving,
aggravating_bæringen av kniven i lomma på offentlig sted,1,aggravating_bæringen av kniven i lomma på offentlig sted,aggravating,bæringen av kniven i lomma på offentlig sted,the carrying of the knife in the pocket in a public place,object,knife
aggravating_ruspåvirket,1,aggravating_ruspåvirket,aggravating,ruspåvirket,under the influence of drugs,drugs,
aggravating_vold mot fornærmede,1,aggravating_vold mot fornærmede,aggravating,vold mot fornærmede,violence against the victim,severe,violence
aggravating_vold og trusler mot polititjenestemann,1,aggravating_vold og trusler mot polititjenestemann,aggravating,vold og trusler mot polititjenestemann,violence and threats against police officers,violation,official
aggravating_øket mengden narkotika i omløp,1,aggravating_øket mengden narkotika i omløp,aggravating,øket mengden narkotika i omløp,increased the amount of drugs in circulation,drugs,sale
aggravating_motstand mot politiet,1,aggravating_motstand mot politiet,aggravating,motstand mot politiet,resistance to the police,obstruction,
aggravating_intensitet,1,aggravating_intensitet,aggravating,intensitet,intensity,DELETE,
aggravating_unyttet tillitsforhold,1,aggravating_unyttet tillitsforhold,aggravating,unyttet tillitsforhold,unused trust relationship,DELETE,
aggravating_deling av krenkende bilde,1,aggravating_deling av krenkende bilde,aggravating,deling av krenkende bilde,sharing of offensive image,violation,offensive_image
aggravating_bruk av forfalskede dokumenter,1,aggravating_bruk av forfalskede dokumenter,aggravating,bruk av forfalskede dokumenter,use of forged documents,violation,fraud
aggravating_unnlatelse av å etterkomme pålegg,1,aggravating_unnlatelse av å etterkomme pålegg,aggravating,unnlatelse av å etterkomme pålegg,failure to comply with orders,obstruction,
aggravating_kjøring i tett trafikkert område,1,aggravating_kjøring i tett trafikkert område,aggravating,kjøring i tett trafikkert område,driving in densely trafficked areas,driving,busy
aggravating_forårsaket personskade,1,aggravating_forårsaket personskade,aggravating,forårsaket personskade,caused personal injury,DELETE,
aggravating_hensynsløs og uforsvarlig kjøring,1,aggravating_hensynsløs og uforsvarlig kjøring,aggravating,hensynsløs og uforsvarlig kjøring,reckless and reckless driving,driving,reckless
aggravating_ansatt i baren,1,aggravating_ansatt i baren,aggravating,ansatt i baren,employee at the bar,DELETE,
aggravating_fornærmede lå nede,1,aggravating_fornærmede lå nede,aggravating,fornærmede lå nede,the victim was lying down,DELETE,
aggravating_planlagt kjøretur med et betydelig skadepotensiale,1,aggravating_planlagt kjøretur med et betydelig skadepotensiale,aggravating,planlagt kjøretur med et betydelig skadepotensiale,planned journey with a significant damage potential,DELETE,
aggravating_unnlatelse av å oppgi personalia til politiet,1,aggravating_unnlatelse av å oppgi personalia til politiet,aggravating,unnlatelse av å oppgi personalia til politiet,failure to provide personal details to the police,violation,identification
aggravating_unnlatelse av å stanse for politikontroll,1,aggravating_unnlatelse av å stanse for politikontroll,aggravating,unnlatelse av å stanse for politikontroll,failure to stop for police check,driving,failed_to_stop
aggravating_alkoholkonsentrasjon over 2 promille,1,aggravating_alkoholkonsentrasjon over 2 promille,aggravating,alkoholkonsentrasjon over 2 promille,alcohol concentration above 2 parts per thousand,intoxication,
aggravating_brudd på tillit,1,aggravating_brudd på tillit,aggravating,brudd på tillit,breach of trust,trust,
aggravating_planmessig og over tid,1,aggravating_planmessig og over tid,aggravating,planmessig og over tid,according to plan and over time,DELETE,
aggravating_hensynsløs oppførsel,1,aggravating_hensynsløs oppførsel,aggravating,hensynsløs oppførsel,reckless behavior,reckless,
aggravating_fornærmede var forsvarsløs,1,aggravating_fornærmede var forsvarsløs,aggravating,fornærmede var forsvarsløs,The victim was defenseless,victim,power
aggravating_kjøring i en tunnel,1,aggravating_kjøring i en tunnel,aggravating,kjøring i en tunnel,driving in a tunnel,DELETE,
aggravating_flere passasjerer,1,aggravating_flere passasjerer,aggravating,flere passasjerer,more passengers,driving,passengers
aggravating_brudd på vegtrafikkloven,1,aggravating_brudd på vegtrafikkloven,aggravating,brudd på vegtrafikkloven,Violation of the Road Traffic Act,violation,road_traffic_act
aggravating_forlot åstedet,1,aggravating_forlot åstedet,aggravating,forlot åstedet,left the scene,DELETE,
aggravating_høy ruspåvirkning,1,aggravating_høy ruspåvirkning,aggravating,høy ruspåvirkning,high drug addiction,drugs,
aggravating_videresalg av narkotika,1,aggravating_videresalg av narkotika,aggravating,videresalg av narkotika,resale of drugs,drugs,sale
aggravating_seksuelt motiverte handlinger,1,aggravating_seksuelt motiverte handlinger,aggravating,seksuelt motiverte handlinger,sexually motivated acts,cause,sexual
aggravating_ruspåvirkning,1,aggravating_ruspåvirkning,aggravating,ruspåvirkning,influence of drugs,drugs,
aggravating_seksuell omgang mot vederlag,1,aggravating_seksuell omgang mot vederlag,aggravating,seksuell omgang mot vederlag,sexual intercourse for remuneration,violation,prostitution
aggravating_uberettiget adgang til lokaler,1,aggravating_uberettiget adgang til lokaler,aggravating,uberettiget adgang til lokaler,unauthorized access to premises,violation,trespassing
aggravating_unndragelse av politikontroll,1,aggravating_unndragelse av politikontroll,aggravating,unndragelse av politikontroll,evasion of police control,violation,evasion
aggravating_betydelig størrelsesforskjell mellom fornærmede og tiltalte,1,aggravating_betydelig størrelsesforskjell mellom fornærmede og tiltalte,aggravating,betydelig størrelsesforskjell mellom fornærmede og tiltalte,significant difference in size between the victim and the accused,victim,power
aggravating_seksuell omgang med flere personer involvert,1,aggravating_seksuell omgang med flere personer involvert,aggravating,seksuell omgang med flere personer involvert,sexual intercourse with several people involved,DELETE,
aggravating_vern av barn,1,aggravating_vern av barn,aggravating,vern av barn,protection of children,DELETE,
aggravating_sakens skjerpende omstendigheter,1,aggravating_sakens skjerpende omstendigheter,aggravating,sakens skjerpende omstendigheter,the aggravating circumstances of the case,DELETE,
aggravating_gjentatt vold i nære relasjoner,1,aggravating_gjentatt vold i nære relasjoner,aggravating,gjentatt vold i nære relasjoner,repeated violence in close relationships,victim,relationship
aggravating_grov uaktsom vold mot politiet,1,aggravating_grov uaktsom vold mot politiet,aggravating,grov uaktsom vold mot politiet,grossly negligent violence against the police,DELETE,
aggravating_nattestid,1,aggravating_nattestid,aggravating,nattestid,night time,DELETE,
aggravating_overfor en ordensperson,1,aggravating_overfor en ordensperson,aggravating,overfor en ordensperson,to a law enforcement officer,DELETE,
aggravating_i selvforskyldt rus,1,aggravating_i selvforskyldt rus,aggravating,i selvforskyldt rus,in self-inflicted intoxication,DELETE,
aggravating_slag,1,aggravating_slag,aggravating,slag,punch,DELETE,
aggravating_heleritilfellene,1,aggravating_heleritilfellene,aggravating,heleritilfellene,the cases of heleritis,violation,theft
aggravating_forsøk på å unndra seg pågripelse,1,aggravating_forsøk på å unndra seg pågripelse,aggravating,forsøk på å unndra seg pågripelse,attempt to evade arrest,violation,evasion
aggravating_passasjer i bilen under kjøring,1,aggravating_passasjer i bilen under kjøring,aggravating,passasjer i bilen under kjøring,passenger in the car while driving,driving,passengers
aggravating_kjøring med håndholdt mobiltelefon,1,aggravating_kjøring med håndholdt mobiltelefon,aggravating,kjøring med håndholdt mobiltelefon,driving with a hand-held mobile phone,driving,phone
aggravating_feil personalia,1,aggravating_feil personalia,aggravating,feil personalia,wrong personnel,DELETE,
aggravating_oppbevart narkotika,1,aggravating_oppbevart narkotika,aggravating,oppbevart narkotika,stored drugs,drugs,storage
aggravating_forulempet politiet,1,aggravating_forulempet politiet,aggravating,forulempet politiet,molested the police,violation,official
aggravating_tidligere straffet for overtredelse,1,aggravating_tidligere straffet for overtredelse,aggravating,tidligere straffet for overtredelse,previously punished for violation,repeated_offense,
aggravating_tidligere straffet for tre overtredelser av straffeloven § 298,1,aggravating_tidligere straffet for tre overtredelser av straffeloven § 298,aggravating,tidligere straffet for tre overtredelser av straffeloven § 298,previously punished for three violations of Section 298 of the Criminal Code,repeated_offense,
aggravating_klare seksuelle motiv,1,aggravating_klare seksuelle motiv,aggravating,klare seksuelle motiv,clear sexual motives,cause,sexual
aggravating_bruk av stjålne skiltmerker,1,aggravating_bruk av stjålne skiltmerker,aggravating,bruk av stjålne skiltmerker,use of stolen license plates,violation,stolen_plates
aggravating_bruk av skarp gjenstand,1,aggravating_bruk av skarp gjenstand,aggravating,bruk av skarp gjenstand,use of a sharp object,object,weapon
aggravating_skremmende/plagsom opptreden,1,aggravating_skremmende/plagsom opptreden,aggravating,skremmende/plagsom opptreden,intimidating/troublesome behaviour,DELETE,
aggravating_begrenset kontakt mellom mor og barn,1,aggravating_begrenset kontakt mellom mor og barn,aggravating,begrenset kontakt mellom mor og barn,limited contact between mother and child,DELETE,
aggravating_vold under beruselse,1,aggravating_vold under beruselse,aggravating,vold under beruselse,violence while intoxicated,intoxication,
aggravating_ikke ubetydelig skadepotensiale,1,aggravating_ikke ubetydelig skadepotensiale,aggravating,ikke ubetydelig skadepotensiale,not insignificant damage potential,severe,damage
aggravating_narkotikaforhold,1,aggravating_narkotikaforhold,aggravating,narkotikaforhold,drug relationship,drugs,
aggravating_særlig høy alkoholkonsentrasjon,1,aggravating_særlig høy alkoholkonsentrasjon,aggravating,særlig høy alkoholkonsentrasjon,particularly high alcohol concentration,intoxication,
aggravating_brudd på en særlig tillit,1,aggravating_brudd på en særlig tillit,aggravating,brudd på en særlig tillit,breach of a special trust,trust,
aggravating_antallet brudd,1,aggravating_antallet brudd,aggravating,antallet brudd,the number of violations,DELETE,
aggravating_forulemping av offentlige tjenestepersoner,1,aggravating_forulemping av offentlige tjenestepersoner,aggravating,forulemping av offentlige tjenestepersoner,harassment of public officials,violation,official
aggravating_fornærmede var hjemme,1,aggravating_fornærmede var hjemme,aggravating,fornærmede var hjemme,the victim was at home,place,private
aggravating_forulemping av andre,1,aggravating_forulemping av andre,aggravating,forulemping av andre,harassment of others,violation,harassment
aggravating_aggressive oppførsel,1,aggravating_aggressive oppførsel,aggravating,aggressive oppførsel,aggressive behavior,severe,aggressive
aggravating_brudd på regnskapsbestemmelsene,1,aggravating_brudd på regnskapsbestemmelsene,aggravating,brudd på regnskapsbestemmelsene,breach of accounting regulations,violation,fraud
aggravating_utstedelse av fiktive fakturaer,1,aggravating_utstedelse av fiktive fakturaer,aggravating,utstedelse av fiktive fakturaer,Issuance of fictitious invoices,violation,fraud
aggravating_forulemping av tjenestemann,1,aggravating_forulemping av tjenestemann,aggravating,forulemping av tjenestemann,harassment of public servant,violation,official
aggravating_med passasjerer,1,aggravating_med passasjerer,aggravating,med passasjerer,with passengers,DELETE,
aggravating_kjøring i trafikkert område,1,aggravating_kjøring i trafikkert område,aggravating,kjøring i trafikkert område,driving in a busy area,driving,busy
aggravating_spredning av materiale,1,aggravating_spredning av materiale,aggravating,spredning av materiale,dissemination of material,violation,sharing_abuse_material
aggravating_vold mot hodet,1,aggravating_vold mot hodet,aggravating,vold mot hodet,violence to the head,life_health,violence
aggravating_flere bedragerier i løpet av kort tid,1,aggravating_flere bedragerier i løpet av kort tid,aggravating,flere bedragerier i løpet av kort tid,several frauds in a short period of time,violation,fraud
aggravating_planla å selge ulovlig sprit videre,1,aggravating_planla å selge ulovlig sprit videre,aggravating,planla å selge ulovlig sprit videre,planned to resell illegal liquor,violation,planned_sale_illegal
aggravating_ikke respektert besøksforbud,1,aggravating_ikke respektert besøksforbud,aggravating,ikke respektert besøksforbud,curfew not respected,violation,curfew
aggravating_sjikanerende oppførsel,1,aggravating_sjikanerende oppførsel,aggravating,sjikanerende oppførsel,harassing behavior,violation,harassment
aggravating_kjøring i tett bebyggelse,1,aggravating_kjøring i tett bebyggelse,aggravating,kjøring i tett bebyggelse,driving in densely populated areas,driving,busy
aggravating_kjøring over lengre distanse,1,aggravating_kjøring over lengre distanse,aggravating,kjøring over lengre distanse,driving over longer distances,driving,distance
