"","count","rowname_norwegian","type","circ_norwegian"
"aggravating_bidrag til vinningsforbrytelser",1,"aggravating_bidrag til vinningsforbrytelser","aggravating","bidrag til vinningsforbrytelser"
"aggravating_brudd på promillereglene til sjøs",1,"aggravating_brudd på promillereglene til sjøs","aggravating","brudd på promillereglene til sjøs"
"aggravating_flere slag og spark",1,"aggravating_flere slag og spark","aggravating","flere slag og spark"
"aggravating_målrettet mot kroppens vitale organer",1,"aggravating_målrettet mot kroppens vitale organer","aggravating","målrettet mot kroppens vitale organer"
"aggravating_drapsforsett",1,"aggravating_drapsforsett","aggravating","drapsforsett"
"aggravating_kraft",1,"aggravating_kraft","aggravating","kraft"
"aggravating_voldsom intensitet",1,"aggravating_voldsom intensitet","aggravating","voldsom intensitet"
"aggravating_lav terskel for voldsutøvelse",1,"aggravating_lav terskel for voldsutøvelse","aggravating","lav terskel for voldsutøvelse"
"aggravating_trusler mot særskilt utsatt gruppe",1,"aggravating_trusler mot særskilt utsatt gruppe","aggravating","trusler mot særskilt utsatt gruppe"
"aggravating_bruk av håndholdt mobil under kjøring",1,"aggravating_bruk av håndholdt mobil under kjøring","aggravating","bruk av håndholdt mobil under kjøring"
"aggravating_publisering av fartsoverskridelse på sosiale medier",1,"aggravating_publisering av fartsoverskridelse på sosiale medier","aggravating","publisering av fartsoverskridelse på sosiale medier"
"aggravating_forspilte bevis",1,"aggravating_forspilte bevis","aggravating","forspilte bevis"
"aggravating_medvirket til distribusjon av narkotika",1,"aggravating_medvirket til distribusjon av narkotika","aggravating","medvirket til distribusjon av narkotika"
"aggravating_øvrige forhold",1,"aggravating_øvrige forhold","aggravating","øvrige forhold"
"aggravating_brudd på vikeplikt",1,"aggravating_brudd på vikeplikt","aggravating","brudd på vikeplikt"
"aggravating_grove tyveri",1,"aggravating_grove tyveri","aggravating","grove tyveri"
"aggravating_simple tyverier",1,"aggravating_simple tyverier","aggravating","simple tyverier"
"aggravating_forsøk på voldtekt av barn under 14 år",1,"aggravating_forsøk på voldtekt av barn under 14 år","aggravating","forsøk på voldtekt av barn under 14 år"
"aggravating_seksuelt krenkende og uanstendig adferd",1,"aggravating_seksuelt krenkende og uanstendig adferd","aggravating","seksuelt krenkende og uanstendig adferd"
"aggravating_planlagt å kjøre en lang strekning",1,"aggravating_planlagt å kjøre en lang strekning","aggravating","planlagt å kjøre en lang strekning"
"aggravating_slag mot hodet med gjenstand",1,"aggravating_slag mot hodet med gjenstand","aggravating","slag mot hodet med gjenstand"
"aggravating_unnlot å stanse for politiet",1,"aggravating_unnlot å stanse for politiet","aggravating","unnlot å stanse for politiet"
"aggravating_fornærmede under 14 år",1,"aggravating_fornærmede under 14 år","aggravating","fornærmede under 14 år"
"aggravating_unnlatt stans for politiet",1,"aggravating_unnlatt stans for politiet","aggravating","unnlatt stans for politiet"
"aggravating_fare for andre",1,"aggravating_fare for andre","aggravating","fare for andre"
"aggravating_trafikkuhell med materielle skader",1,"aggravating_trafikkuhell med materielle skader","aggravating","trafikkuhell med materielle skader"
"aggravating_gjentatte kroppskrenkelser",1,"aggravating_gjentatte kroppskrenkelser","aggravating","gjentatte kroppskrenkelser"
"aggravating_store beslag på politiets ressurser",1,"aggravating_store beslag på politiets ressurser","aggravating","store beslag på politiets ressurser"
"aggravating_stor og rask båt med stort skadepotensiale",1,"aggravating_stor og rask båt med stort skadepotensiale","aggravating","stor og rask båt med stort skadepotensiale"
"aggravating_førte båten over en lengre strekning",1,"aggravating_førte båten over en lengre strekning","aggravating","førte båten over en lengre strekning"
"aggravating_høy alkoholpåvirkning",1,"aggravating_høy alkoholpåvirkning","aggravating","høy alkoholpåvirkning"
"aggravating_vold mot person som forsøker å roe ned situasjonen",1,"aggravating_vold mot person som forsøker å roe ned situasjonen","aggravating","vold mot person som forsøker å roe ned situasjonen"
"aggravating_produksjon av film med seksuell omgang",1,"aggravating_produksjon av film med seksuell omgang","aggravating","produksjon av film med seksuell omgang"
"aggravating_flere grove tyverier",1,"aggravating_flere grove tyverier","aggravating","flere grove tyverier"
"aggravating_kjøring under ruspåvirket",1,"aggravating_kjøring under ruspåvirket","aggravating","kjøring under ruspåvirket"
"aggravating_høy påvirkningsgrad under kjøringen",1,"aggravating_høy påvirkningsgrad under kjøringen","aggravating","høy påvirkningsgrad under kjøringen"
"aggravating_kjøring uten gyldig skilt",1,"aggravating_kjøring uten gyldig skilt","aggravating","kjøring uten gyldig skilt"
"aggravating_unnlatelse av å møte til soning",1,"aggravating_unnlatelse av å møte til soning","aggravating","unnlatelse av å møte til soning"
"aggravating_beruselse",1,"aggravating_beruselse","aggravating","beruselse"
"aggravating_voldshistorikken mellom Navn og Navn",1,"aggravating_voldshistorikken mellom Navn og Navn","aggravating","voldshistorikken mellom Navn og Navn"
"aggravating_grovt tillitsbrudd",1,"aggravating_grovt tillitsbrudd","aggravating","grovt tillitsbrudd"
"aggravating_utnyttelse av offer",1,"aggravating_utnyttelse av offer","aggravating","utnyttelse av offer"
"aggravating_lang varighet",1,"aggravating_lang varighet","aggravating","lang varighet"
"aggravating_overgrep i eget hjem",1,"aggravating_overgrep i eget hjem","aggravating","overgrep i eget hjem"
"aggravating_misbruk av samboers identifikasjon",1,"aggravating_misbruk av samboers identifikasjon","aggravating","misbruk av samboers identifikasjon"
"aggravating_for høyt fart",1,"aggravating_for høyt fart","aggravating","for høyt fart"
"aggravating_båret skytevåpen på offentlig sted",1,"aggravating_båret skytevåpen på offentlig sted","aggravating","båret skytevåpen på offentlig sted"
"aggravating_flere personer til stede",1,"aggravating_flere personer til stede","aggravating","flere personer til stede"
"aggravating_aldri hatt gyldig førerkort",1,"aggravating_aldri hatt gyldig førerkort","aggravating","aldri hatt gyldig førerkort"
"aggravating_mønster av handlinger",1,"aggravating_mønster av handlinger","aggravating","mønster av handlinger"
"aggravating_høy verdi på stjålet gjenstand",1,"aggravating_høy verdi på stjålet gjenstand","aggravating","høy verdi på stjålet gjenstand"
"aggravating_grovt brudd på vegtrafikkloven",1,"aggravating_grovt brudd på vegtrafikkloven","aggravating","grovt brudd på vegtrafikkloven"
"aggravating_tjuveri",1,"aggravating_tjuveri","aggravating","tjuveri"
"aggravating_tidligere voldsutøvelser",1,"aggravating_tidligere voldsutøvelser","aggravating","tidligere voldsutøvelser"
"aggravating_voldelig",1,"aggravating_voldelig","aggravating","voldelig"
"aggravating_aggressivt og utagerende oppførsel",1,"aggravating_aggressivt og utagerende oppførsel","aggravating","aggressivt og utagerende oppførsel"
"aggravating_oppbevaring av kokain",1,"aggravating_oppbevaring av kokain","aggravating","oppbevaring av kokain"
"aggravating_grovt underslag",1,"aggravating_grovt underslag","aggravating","grovt underslag"
"aggravating_flere skjerpende forhold",1,"aggravating_flere skjerpende forhold","aggravating","flere skjerpende forhold"
"aggravating_hovedmann",1,"aggravating_hovedmann","aggravating","hovedmann"
"aggravating_foranledningen til volden",1,"aggravating_foranledningen til volden","aggravating","foranledningen til volden"
"aggravating_vold i forbindelse med trusselen",1,"aggravating_vold i forbindelse med trusselen","aggravating","vold i forbindelse med trusselen"
"aggravating_uforsvarlig lagring av våpen og ammunisjon",1,"aggravating_uforsvarlig lagring av våpen og ammunisjon","aggravating","uforsvarlig lagring av våpen og ammunisjon"
"aggravating_hatefulle ytringer",1,"aggravating_hatefulle ytringer","aggravating","hatefulle ytringer"
"aggravating_bruk av belte i voldsutøvelsen",1,"aggravating_bruk av belte i voldsutøvelsen","aggravating","bruk av belte i voldsutøvelsen"
"aggravating_seksuell adferd med bruk av seksuelle hjelpemidler/andre gjenstander",1,"aggravating_seksuell adferd med bruk av seksuelle hjelpemidler/andre gjenstander","aggravating","seksuell adferd med bruk av seksuelle hjelpemidler/andre gjenstander"
"aggravating_tidligere dømt for bedrageri",1,"aggravating_tidligere dømt for bedrageri","aggravating","tidligere dømt for bedrageri"
"aggravating_stort tapspotensiale",1,"aggravating_stort tapspotensiale","aggravating","stort tapspotensiale"
"aggravating_høyt antall bedragerier",1,"aggravating_høyt antall bedragerier","aggravating","høyt antall bedragerier"
"aggravating_delvis profesjonelt preg",1,"aggravating_delvis profesjonelt preg","aggravating","delvis profesjonelt preg"
"aggravating_rasistiske ytringer",1,"aggravating_rasistiske ytringer","aggravating","rasistiske ytringer"
"aggravating_unnlot å stoppe for politiet",1,"aggravating_unnlot å stoppe for politiet","aggravating","unnlot å stoppe for politiet"
"aggravating_oppsøkt fornærmede utenfor hennes hjem",1,"aggravating_oppsøkt fornærmede utenfor hennes hjem","aggravating","oppsøkt fornærmede utenfor hennes hjem"
"aggravating_kjøring med uregistrert motorvogn",1,"aggravating_kjøring med uregistrert motorvogn","aggravating","kjøring med uregistrert motorvogn"
"aggravating_kjøring med uforsikret motorvogn",1,"aggravating_kjøring med uforsikret motorvogn","aggravating","kjøring med uforsikret motorvogn"
"aggravating_meget aktiv medvirkerrolle",1,"aggravating_meget aktiv medvirkerrolle","aggravating","meget aktiv medvirkerrolle"
"aggravating_planlagt av flere i fellesskap",1,"aggravating_planlagt av flere i fellesskap","aggravating","planlagt av flere i fellesskap"
"aggravating_steiling med motorsykkel",1,"aggravating_steiling med motorsykkel","aggravating","steiling med motorsykkel"
"aggravating_bæringen av kniven i lomma på offentlig sted",1,"aggravating_bæringen av kniven i lomma på offentlig sted","aggravating","bæringen av kniven i lomma på offentlig sted"
"aggravating_ruspåvirket",1,"aggravating_ruspåvirket","aggravating","ruspåvirket"
"aggravating_vold mot fornærmede",1,"aggravating_vold mot fornærmede","aggravating","vold mot fornærmede"
"aggravating_vold og trusler mot polititjenestemann",1,"aggravating_vold og trusler mot polititjenestemann","aggravating","vold og trusler mot polititjenestemann"
"aggravating_øket mengden narkotika i omløp",1,"aggravating_øket mengden narkotika i omløp","aggravating","øket mengden narkotika i omløp"
"aggravating_motstand mot politiet",1,"aggravating_motstand mot politiet","aggravating","motstand mot politiet"
"aggravating_intensitet",1,"aggravating_intensitet","aggravating","intensitet"
"aggravating_unyttet tillitsforhold",1,"aggravating_unyttet tillitsforhold","aggravating","unyttet tillitsforhold"
"aggravating_deling av krenkende bilde",1,"aggravating_deling av krenkende bilde","aggravating","deling av krenkende bilde"
"aggravating_bruk av forfalskede dokumenter",1,"aggravating_bruk av forfalskede dokumenter","aggravating","bruk av forfalskede dokumenter"
"aggravating_unnlatelse av å etterkomme pålegg",1,"aggravating_unnlatelse av å etterkomme pålegg","aggravating","unnlatelse av å etterkomme pålegg"
"aggravating_kjøring i tett trafikkert område",1,"aggravating_kjøring i tett trafikkert område","aggravating","kjøring i tett trafikkert område"
"aggravating_forårsaket personskade",1,"aggravating_forårsaket personskade","aggravating","forårsaket personskade"
"aggravating_hensynsløs og uforsvarlig kjøring",1,"aggravating_hensynsløs og uforsvarlig kjøring","aggravating","hensynsløs og uforsvarlig kjøring"
"aggravating_ansatt i baren",1,"aggravating_ansatt i baren","aggravating","ansatt i baren"
"aggravating_fornærmede lå nede",1,"aggravating_fornærmede lå nede","aggravating","fornærmede lå nede"
"aggravating_planlagt kjøretur med et betydelig skadepotensiale",1,"aggravating_planlagt kjøretur med et betydelig skadepotensiale","aggravating","planlagt kjøretur med et betydelig skadepotensiale"
"aggravating_unnlatelse av å oppgi personalia til politiet",1,"aggravating_unnlatelse av å oppgi personalia til politiet","aggravating","unnlatelse av å oppgi personalia til politiet"
"aggravating_unnlatelse av å stanse for politikontroll",1,"aggravating_unnlatelse av å stanse for politikontroll","aggravating","unnlatelse av å stanse for politikontroll"
"aggravating_alkoholkonsentrasjon over 2 promille",1,"aggravating_alkoholkonsentrasjon over 2 promille","aggravating","alkoholkonsentrasjon over 2 promille"
"aggravating_brudd på tillit",1,"aggravating_brudd på tillit","aggravating","brudd på tillit"
"aggravating_planmessig og over tid",1,"aggravating_planmessig og over tid","aggravating","planmessig og over tid"
"aggravating_hensynsløs oppførsel",1,"aggravating_hensynsløs oppførsel","aggravating","hensynsløs oppførsel"
"aggravating_fornærmede var forsvarsløs",1,"aggravating_fornærmede var forsvarsløs","aggravating","fornærmede var forsvarsløs"
"aggravating_kjøring i en tunnel",1,"aggravating_kjøring i en tunnel","aggravating","kjøring i en tunnel"
"aggravating_flere passasjerer",1,"aggravating_flere passasjerer","aggravating","flere passasjerer"
"aggravating_brudd på vegtrafikkloven",1,"aggravating_brudd på vegtrafikkloven","aggravating","brudd på vegtrafikkloven"
"aggravating_forlot åstedet",1,"aggravating_forlot åstedet","aggravating","forlot åstedet"
"aggravating_høy ruspåvirkning",1,"aggravating_høy ruspåvirkning","aggravating","høy ruspåvirkning"
"aggravating_videresalg av narkotika",1,"aggravating_videresalg av narkotika","aggravating","videresalg av narkotika"
"aggravating_seksuelt motiverte handlinger",1,"aggravating_seksuelt motiverte handlinger","aggravating","seksuelt motiverte handlinger"
"aggravating_ruspåvirkning",1,"aggravating_ruspåvirkning","aggravating","ruspåvirkning"
"aggravating_seksuell omgang mot vederlag",1,"aggravating_seksuell omgang mot vederlag","aggravating","seksuell omgang mot vederlag"
"aggravating_uberettiget adgang til lokaler",1,"aggravating_uberettiget adgang til lokaler","aggravating","uberettiget adgang til lokaler"
"aggravating_unndragelse av politikontroll",1,"aggravating_unndragelse av politikontroll","aggravating","unndragelse av politikontroll"
"aggravating_betydelig størrelsesforskjell mellom fornærmede og tiltalte",1,"aggravating_betydelig størrelsesforskjell mellom fornærmede og tiltalte","aggravating","betydelig størrelsesforskjell mellom fornærmede og tiltalte"
"aggravating_seksuell omgang med flere personer involvert",1,"aggravating_seksuell omgang med flere personer involvert","aggravating","seksuell omgang med flere personer involvert"
"aggravating_vern av barn",1,"aggravating_vern av barn","aggravating","vern av barn"
"aggravating_sakens skjerpende omstendigheter",1,"aggravating_sakens skjerpende omstendigheter","aggravating","sakens skjerpende omstendigheter"
"aggravating_gjentatt vold i nære relasjoner",1,"aggravating_gjentatt vold i nære relasjoner","aggravating","gjentatt vold i nære relasjoner"
"aggravating_grov uaktsom vold mot politiet",1,"aggravating_grov uaktsom vold mot politiet","aggravating","grov uaktsom vold mot politiet"
"aggravating_nattestid",1,"aggravating_nattestid","aggravating","nattestid"
"aggravating_overfor en ordensperson",1,"aggravating_overfor en ordensperson","aggravating","overfor en ordensperson"
"aggravating_i selvforskyldt rus",1,"aggravating_i selvforskyldt rus","aggravating","i selvforskyldt rus"
"aggravating_slag",1,"aggravating_slag","aggravating","slag"
"aggravating_heleritilfellene",1,"aggravating_heleritilfellene","aggravating","heleritilfellene"
"aggravating_forsøk på å unndra seg pågripelse",1,"aggravating_forsøk på å unndra seg pågripelse","aggravating","forsøk på å unndra seg pågripelse"
"aggravating_passasjer i bilen under kjøring",1,"aggravating_passasjer i bilen under kjøring","aggravating","passasjer i bilen under kjøring"
"aggravating_kjøring med håndholdt mobiltelefon",1,"aggravating_kjøring med håndholdt mobiltelefon","aggravating","kjøring med håndholdt mobiltelefon"
"aggravating_feil personalia",1,"aggravating_feil personalia","aggravating","feil personalia"
"aggravating_oppbevart narkotika",1,"aggravating_oppbevart narkotika","aggravating","oppbevart narkotika"
"aggravating_forulempet politiet",1,"aggravating_forulempet politiet","aggravating","forulempet politiet"
"aggravating_tidligere straffet for overtredelse",1,"aggravating_tidligere straffet for overtredelse","aggravating","tidligere straffet for overtredelse"
"aggravating_tidligere straffet for tre overtredelser av straffeloven § 298",1,"aggravating_tidligere straffet for tre overtredelser av straffeloven § 298","aggravating","tidligere straffet for tre overtredelser av straffeloven § 298"
"aggravating_klare seksuelle motiv",1,"aggravating_klare seksuelle motiv","aggravating","klare seksuelle motiv"
"aggravating_bruk av stjålne skiltmerker",1,"aggravating_bruk av stjålne skiltmerker","aggravating","bruk av stjålne skiltmerker"
"aggravating_bruk av skarp gjenstand",1,"aggravating_bruk av skarp gjenstand","aggravating","bruk av skarp gjenstand"
"aggravating_skremmende/plagsom opptreden",1,"aggravating_skremmende/plagsom opptreden","aggravating","skremmende/plagsom opptreden"
"aggravating_begrenset kontakt mellom mor og barn",1,"aggravating_begrenset kontakt mellom mor og barn","aggravating","begrenset kontakt mellom mor og barn"
"aggravating_vold under beruselse",1,"aggravating_vold under beruselse","aggravating","vold under beruselse"
"aggravating_ikke ubetydelig skadepotensiale",1,"aggravating_ikke ubetydelig skadepotensiale","aggravating","ikke ubetydelig skadepotensiale"
"aggravating_narkotikaforhold",1,"aggravating_narkotikaforhold","aggravating","narkotikaforhold"
"aggravating_særlig høy alkoholkonsentrasjon",1,"aggravating_særlig høy alkoholkonsentrasjon","aggravating","særlig høy alkoholkonsentrasjon"
"aggravating_brudd på en særlig tillit",1,"aggravating_brudd på en særlig tillit","aggravating","brudd på en særlig tillit"
"aggravating_antallet brudd",1,"aggravating_antallet brudd","aggravating","antallet brudd"
"aggravating_forulemping av offentlige tjenestepersoner",1,"aggravating_forulemping av offentlige tjenestepersoner","aggravating","forulemping av offentlige tjenestepersoner"
"aggravating_fornærmede var hjemme",1,"aggravating_fornærmede var hjemme","aggravating","fornærmede var hjemme"
"aggravating_forulemping av andre",1,"aggravating_forulemping av andre","aggravating","forulemping av andre"
"aggravating_aggressive oppførsel",1,"aggravating_aggressive oppførsel","aggravating","aggressive oppførsel"
"aggravating_brudd på regnskapsbestemmelsene",1,"aggravating_brudd på regnskapsbestemmelsene","aggravating","brudd på regnskapsbestemmelsene"
"aggravating_utstedelse av fiktive fakturaer",1,"aggravating_utstedelse av fiktive fakturaer","aggravating","utstedelse av fiktive fakturaer"
"aggravating_forulemping av tjenestemann",1,"aggravating_forulemping av tjenestemann","aggravating","forulemping av tjenestemann"
"aggravating_med passasjerer",1,"aggravating_med passasjerer","aggravating","med passasjerer"
"aggravating_kjøring i trafikkert område",1,"aggravating_kjøring i trafikkert område","aggravating","kjøring i trafikkert område"
"aggravating_spredning av materiale",1,"aggravating_spredning av materiale","aggravating","spredning av materiale"
"aggravating_vold mot hodet",1,"aggravating_vold mot hodet","aggravating","vold mot hodet"
"aggravating_flere bedragerier i løpet av kort tid",1,"aggravating_flere bedragerier i løpet av kort tid","aggravating","flere bedragerier i løpet av kort tid"
"aggravating_planla å selge ulovlig sprit videre",1,"aggravating_planla å selge ulovlig sprit videre","aggravating","planla å selge ulovlig sprit videre"
"aggravating_ikke respektert besøksforbud",1,"aggravating_ikke respektert besøksforbud","aggravating","ikke respektert besøksforbud"
"aggravating_sjikanerende oppførsel",1,"aggravating_sjikanerende oppførsel","aggravating","sjikanerende oppførsel"
"aggravating_kjøring i tett bebyggelse",1,"aggravating_kjøring i tett bebyggelse","aggravating","kjøring i tett bebyggelse"
"aggravating_kjøring over lengre distanse",1,"aggravating_kjøring over lengre distanse","aggravating","kjøring over lengre distanse"
"aggravating_bebygd område",1,"aggravating_bebygd område","aggravating","bebygd område"
"aggravating_kontrollerende opptreden",1,"aggravating_kontrollerende opptreden","aggravating","kontrollerende opptreden"
"aggravating_forulemping av offentlig tjenesteperson",1,"aggravating_forulemping av offentlig tjenesteperson","aggravating","forulemping av offentlig tjenesteperson"
"aggravating_fast forbrytersk forsett over tid",1,"aggravating_fast forbrytersk forsett over tid","aggravating","fast forbrytersk forsett over tid"
"aggravating_seksuell omgang på forskjellige steder",1,"aggravating_seksuell omgang på forskjellige steder","aggravating","seksuell omgang på forskjellige steder"
"aggravating_manglende bruk av beskyttelse",1,"aggravating_manglende bruk av beskyttelse","aggravating","manglende bruk av beskyttelse"
"aggravating_grove tyverier",1,"aggravating_grove tyverier","aggravating","grove tyverier"
"aggravating_alvorlig vold",1,"aggravating_alvorlig vold","aggravating","alvorlig vold"
"aggravating_spesifikt våpen",1,"aggravating_spesifikt våpen","aggravating","spesifikt våpen"
"aggravating_ulovlig inndriving av gjeld",1,"aggravating_ulovlig inndriving av gjeld","aggravating","ulovlig inndriving av gjeld"
"aggravating_forulemping av andre i beruset tilstand",1,"aggravating_forulemping av andre i beruset tilstand","aggravating","forulemping av andre i beruset tilstand"
"aggravating_herjing og ødeleggelse av fornærmedes bolig",1,"aggravating_herjing og ødeleggelse av fornærmedes bolig","aggravating","herjing og ødeleggelse av fornærmedes bolig"
"aggravating_gjentatte og krenkende henvendelser",1,"aggravating_gjentatte og krenkende henvendelser","aggravating","gjentatte og krenkende henvendelser"
"aggravating_høy gjennomsnittshastighet",1,"aggravating_høy gjennomsnittshastighet","aggravating","høy gjennomsnittshastighet"
"aggravating_ran med planmessig preg",1,"aggravating_ran med planmessig preg","aggravating","ran med planmessig preg"
"aggravating_ikke tatt lærdom av tidligere domfellelse",1,"aggravating_ikke tatt lærdom av tidligere domfellelse","aggravating","ikke tatt lærdom av tidligere domfellelse"
"aggravating_planmessige og utspekulerte tyverier",1,"aggravating_planmessige og utspekulerte tyverier","aggravating","planmessige og utspekulerte tyverier"
"aggravating_antall timer",1,"aggravating_antall timer","aggravating","antall timer"
"aggravating_fartsoverskridelser",1,"aggravating_fartsoverskridelser","aggravating","fartsoverskridelser"
"aggravating_langvarig",1,"aggravating_langvarig","aggravating","langvarig"
"aggravating_utnyttelse av ressurssvake",1,"aggravating_utnyttelse av ressurssvake","aggravating","utnyttelse av ressurssvake"
"aggravating_betydelig trafikk",1,"aggravating_betydelig trafikk","aggravating","betydelig trafikk"
"aggravating_deling av materiale",1,"aggravating_deling av materiale","aggravating","deling av materiale"
"aggravating_passasjerer til stede",1,"aggravating_passasjerer til stede","aggravating","passasjerer til stede"
"aggravating_kjøring over lengre strekninger",1,"aggravating_kjøring over lengre strekninger","aggravating","kjøring over lengre strekninger"
"aggravating_avhengighetsforhold",1,"aggravating_avhengighetsforhold","aggravating","avhengighetsforhold"
"aggravating_bæring av sag på offentlig sted",1,"aggravating_bæring av sag på offentlig sted","aggravating","bæring av sag på offentlig sted"
"aggravating_unnlatt å stanse for politiet",1,"aggravating_unnlatt å stanse for politiet","aggravating","unnlatt å stanse for politiet"
"aggravating_særlig høye konsentrasjoner av alkohol over 2 i promille",1,"aggravating_særlig høye konsentrasjoner av alkohol over 2 i promille","aggravating","særlig høye konsentrasjoner av alkohol over 2 i promille"
"aggravating_kjøring i Oslo sentrum",1,"aggravating_kjøring i Oslo sentrum","aggravating","kjøring i Oslo sentrum"
"aggravating_ulovlig parkering foran lekeplass",1,"aggravating_ulovlig parkering foran lekeplass","aggravating","ulovlig parkering foran lekeplass"
"aggravating_antall overtredelser av vegtrafikkloven § 24",1,"aggravating_antall overtredelser av vegtrafikkloven § 24","aggravating","antall overtredelser av vegtrafikkloven § 24"
"aggravating_ansvar for øvelseskjøring",1,"aggravating_ansvar for øvelseskjøring","aggravating","ansvar for øvelseskjøring"
"aggravating_forholdene fant sted innenfor en kort periode",1,"aggravating_forholdene fant sted innenfor en kort periode","aggravating","forholdene fant sted innenfor en kort periode"
"aggravating_grovt skadeverk",1,"aggravating_grovt skadeverk","aggravating","grovt skadeverk"
"aggravating_diskriminerende utsagn",1,"aggravating_diskriminerende utsagn","aggravating","diskriminerende utsagn"
"aggravating_intens pågang over tid",1,"aggravating_intens pågang over tid","aggravating","intens pågang over tid"
"aggravating_forledelse med løfte om penger",1,"aggravating_forledelse med løfte om penger","aggravating","forledelse med løfte om penger"
"aggravating_lagret bilder uten samtykke",1,"aggravating_lagret bilder uten samtykke","aggravating","lagret bilder uten samtykke"
"aggravating_tidligere straffet for voldsforbrytelser",1,"aggravating_tidligere straffet for voldsforbrytelser","aggravating","tidligere straffet for voldsforbrytelser"
"aggravating_overgrepene har funnet sted hjemme hos fornærmede",1,"aggravating_overgrepene har funnet sted hjemme hos fornærmede","aggravating","overgrepene har funnet sted hjemme hos fornærmede"
"aggravating_særlig nedverdigende og krenkende",1,"aggravating_særlig nedverdigende og krenkende","aggravating","særlig nedverdigende og krenkende"
"aggravating_smitterisiko",1,"aggravating_smitterisiko","aggravating","smitterisiko"
"aggravating_bæring av kniver",1,"aggravating_bæring av kniver","aggravating","bæring av kniver"
"aggravating_unndragelsens lengde",1,"aggravating_unndragelsens lengde","aggravating","unndragelsens lengde"
"aggravating_aggressive konfrontasjoner",1,"aggravating_aggressive konfrontasjoner","aggravating","aggressive konfrontasjoner"
"aggravating_familiemessig tilknytning",1,"aggravating_familiemessig tilknytning","aggravating","familiemessig tilknytning"
"aggravating_krenkende karakter",1,"aggravating_krenkende karakter","aggravating","krenkende karakter"
"aggravating_krenkende innhold",1,"aggravating_krenkende innhold","aggravating","krenkende innhold"
"aggravating_omfang av kontakt",1,"aggravating_omfang av kontakt","aggravating","omfang av kontakt"
"aggravating_manglende samtykke",1,"aggravating_manglende samtykke","aggravating","manglende samtykke"
"aggravating_fornærmede identifiserbar",1,"aggravating_fornærmede identifiserbar","aggravating","fornærmede identifiserbar"
"aggravating_rasistisk motivert kroppskrenkelse",1,"aggravating_rasistisk motivert kroppskrenkelse","aggravating","rasistisk motivert kroppskrenkelse"
"aggravating_rasistisk motivert",1,"aggravating_rasistisk motivert","aggravating","rasistisk motivert"
"aggravating_voldens art og alvorlighet",1,"aggravating_voldens art og alvorlighet","aggravating","voldens art og alvorlighet"
"aggravating_underslag av store summer",1,"aggravating_underslag av store summer","aggravating","underslag av store summer"
"aggravating_bruk av fagkunnskap",1,"aggravating_bruk av fagkunnskap","aggravating","bruk av fagkunnskap"
"aggravating_hjelp ikke ytt",1,"aggravating_hjelp ikke ytt","aggravating","hjelp ikke ytt"
"aggravating_forstyrret den alminnelige fred og orden",1,"aggravating_forstyrret den alminnelige fred og orden","aggravating","forstyrret den alminnelige fred og orden"
"aggravating_besittelse av store mengder kontanter",1,"aggravating_besittelse av store mengder kontanter","aggravating","besittelse av store mengder kontanter"
"aggravating_behandling av stoffet",1,"aggravating_behandling av stoffet","aggravating","behandling av stoffet"
"aggravating_planmessig ved at hun raskt benyttet de stjålne bankkortene",1,"aggravating_planmessig ved at hun raskt benyttet de stjålne bankkortene","aggravating","planmessig ved at hun raskt benyttet de stjålne bankkortene"
"aggravating_motarbeiding av rettsvesenet",1,"aggravating_motarbeiding av rettsvesenet","aggravating","motarbeiding av rettsvesenet"
"aggravating_ulovlig besittelse av pistoler og ammunisjon",1,"aggravating_ulovlig besittelse av pistoler og ammunisjon","aggravating","ulovlig besittelse av pistoler og ammunisjon"
"aggravating_uregistrert våpen",1,"aggravating_uregistrert våpen","aggravating","uregistrert våpen"
"aggravating_alvorlige narkotikaforbrytelser",1,"aggravating_alvorlige narkotikaforbrytelser","aggravating","alvorlige narkotikaforbrytelser"
"aggravating_barn våpen på offentlig sted",1,"aggravating_barn våpen på offentlig sted","aggravating","barn våpen på offentlig sted"
"aggravating_tidligere utøvet vold",1,"aggravating_tidligere utøvet vold","aggravating","tidligere utøvet vold"
"aggravating_grove overgrep mot egen datter",1,"aggravating_grove overgrep mot egen datter","aggravating","grove overgrep mot egen datter"
"aggravating_forsøk på ran",1,"aggravating_forsøk på ran","aggravating","forsøk på ran"
"aggravating_kjørelengde",1,"aggravating_kjørelengde","aggravating","kjørelengde"
"aggravating_øvrige overtredelser",1,"aggravating_øvrige overtredelser","aggravating","øvrige overtredelser"
"aggravating_fortsatte volden til tross for at han klart hadde overtaket",1,"aggravating_fortsatte volden til tross for at han klart hadde overtaket","aggravating","fortsatte volden til tross for at han klart hadde overtaket"
"aggravating_bruk av falske profiler",1,"aggravating_bruk av falske profiler","aggravating","bruk av falske profiler"
"aggravating_alvorlig tillitsbrudd",1,"aggravating_alvorlig tillitsbrudd","aggravating","alvorlig tillitsbrudd"
"aggravating_spredningsfaren",1,"aggravating_spredningsfaren","aggravating","spredningsfaren"
"aggravating_uriktig forklaring til offentlig myndighet",1,"aggravating_uriktig forklaring til offentlig myndighet","aggravating","uriktig forklaring til offentlig myndighet"
"aggravating_selvforskyldt rus",1,"aggravating_selvforskyldt rus","aggravating","selvforskyldt rus"
"aggravating_hyppig vold",1,"aggravating_hyppig vold","aggravating","hyppig vold"
